Number,Larval habitat,Adult habitat,Start,Stage,day 1,day 19,day 38,day 57,day 76,day 95,day 114,day 133
1,W5,Oat,19-Jul,Adult,6,6,6,18,17,18,20,20
2,Oat,Oat,31-Jul,Adult,6,6,6,6,6,9,11,16
3,W5,Oat,19-Jul,Adult,6,6,6,19,18,19,22,21
4,Oat,W5,31-Jul,Adult,6,6,23,63,60,82,89,91
5,W5,W5,19-Jul,Adult,6,6,52,108,108,108,177,175
6,Oat,Oat,31-Jul,Adult,6,6,6,6,6,6,7,7
7,W5,W5,19-Jul,Adult,6,5,16,104,102,101,89,96
8,Oat,W5,31-Jul,Adult,6,6,24,66,60,73,71,66
9,W5,W5,21-Jul,Adult,6,6,94,185,182,181,183,173
10,W5,W5,21-Jul,Adult,6,6,143,185,185,183,182,188
11,W5,W5,21-Jul,Adult,6,6,56,149,148,147,142,148
12,Oat,Oat,31-Jul,Adult,6,6,6,6,14,21,21,21
13,Oat,W5,31-Jul,Adult,6,5,20,26,28,42,55,73
14,Oat,Oat,31-Jul,Adult,6,6,6,6,7,12,11,11
15,Oat,W5,31-Jul,Adult,6,5,28,58,56,74,95,95
16,W5,Oat,21-Jul,Adult,6,6,6,15,25,22,22,25
17,Oat,Oat,31-Jul,Adult,6,6,6,6,5,6,6,5
18,W5,Oat,21-Jul,Adult,6,6,6,13,30,30,30,29
19,W5,Oat,21-Jul,Adult,6,6,6,12,18,15,14,17
20,W5,Oat,21-Jul,Adult,6,5,5,8,19,18,19,28
21,W5,W5,21-Jul,Adult,6,6,94,144,145,144,138,137
22,Oat,Oat,01-Aug,Adult,6,6,6,6,8,9,9,9
23,W5,Oat,23-Jul,Adult,6,5,5,14,16,15,14,16
24,W5,Oat,23-Jul,Adult,6,6,6,10,19,18,18,19
25,W5,Oat,23-Jul,Adult,6,6,5,9,29,25,25,25
26,W5,W5,23-Jul,Adult,6,6,101,156,155,154,153,153
27,W5,W5,23-Jul,Adult,6,6,52,119,119,119,131,125
28,W5,W5,23-Jul,Adult,6,6,63,97,97,99,102,101
29,Oat,W5,01-Aug,Adult,6,6,16,94,93,92,92,88
30,Oat,Oat,01-Aug,Adult,6,6,6,6,6,10,9,9
31,Oat,W5,01-Aug,Adult,6,6,9,112,117,115,113,109
32,Oat,W5,31-Jul,Adult,6,6,12,57,56,57,65,64
33,W5,W5,21-Jul,Adult,6,6,10,70,69,78,77,76
34,Oat,Oat,31-Jul,Adult,6,6,6,6,7,7,7,8
35,W5,W5,21-Jul,Adult,6,6,51,128,127,129,125,136
36,W5,Oat,21-Jul,Adult,6,6,6,7,17,16,17,26
37,W5,Oat,21-Jul,Adult,6,6,6,16,20,20,20,21
38,Oat,Oat,31-Jul,Adult,6,6,6,6,12,12,13,13
39,W5,W5,22-Jul,Adult,6,6,56,112,112,113,116,123
40,W5,Oat,22-Jul,Adult,6,6,6,9,13,11,10,11
41,W5,W5,22-Jul,Adult,6,6,82,166,166,164,165,157
42,W5,Oat,22-Jul,Adult,6,6,6,7,40,37,37,34
43,W5,Oat,22-Jul,Adult,6,6,6,11,15,17,17,17
44,Oat,W5,31-Jul,Adult,6,6,49,88,83,86,81,87
45,W5,Oat,22-Jul,Adult,6,6,6,10,16,15,15,14
46,Oat,Oat,31-Jul,Adult,6,6,6,6,6,12,12,12
47,W5,W5,22-Jul,Adult,6,6,38,90,89,92,96,100
48,Oat,W5,31-Jul,Adult,6,6,43,62,59,58,57,78
49,W5,W5,22-Jul,Adult,6,6,47,78,78,91,94,107
50,Oat,W5,01-Aug,Adult,6,5,28,86,84,83,83,83
51,Oat,Oat,01-Aug,Adult,6,6,6,6,6,7,7,7
52,Oat,W5,01-Aug,Adult,6,5,43,93,88,92,92,92
53,W5,Oat,23-Jul,Adult,6,6,5,7,15,11,11,13
54,Oat,Oat,01-Aug,Adult,6,6,6,6,6,7,7,7
55,W5,Oat,23-Jul,Adult,6,6,6,18,25,24,23,25
56,W5,Oat,23-Jul,Adult,6,6,6,18,10,10,10,18
57,Oat,Oat,01-Aug,Adult,6,6,6,6,7,8,14,15
58,W5,W5,23-Jul,Adult,6,6,81,142,141,138,136,137
59,W5,W5,23-Jul,Adult,6,6,75,119,116,119,121,113
60,W5,W5,23-Jul,Adult,6,6,92,155,153,154,151,153
